Role,Company,Location,Date_Posted,Apply_Link
"Data Analyst (Marketing Analytics, Bangkok Based, Relocation provided)",Agoda,Mumbai Metropolitan Region,6 days ago,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299779220?position=1&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=4KkUOrPQIu1UqHSbkUJXYg%3D%3D
Data Analyst,BETSOL,"Bengaluru, Karnataka, India",4 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-betsol-4323034706?position=2&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=ov6uXESpSnmHxA5Dt203nQ%3D%3D
Data Analyst - Fresher,ContraVault AI,India,1 week ago,https://in.linkedin.com/jobs/view/data-analyst-fresher-at-contravault-ai-4322196195?position=3&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=2d3OB06r2%2BNR2jwxrrwB6Q%3D%3D
Data Analyst,OIP Insurtech,"Hyderabad, Telangana, India",3 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-oip-insurtech-4341367988?position=4&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=GBaNNe%2Fvkx05iH09ShPYHA%3D%3D
Data Analyst-Data Management and Analytics-Data Ops/Data Analyst,EXL,"Gurugram, Haryana, India",4 days ago,https://in.linkedin.com/jobs/view/data-analyst-data-management-and-analytics-data-ops-data-analyst-at-exl-4335769428?position=5&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=aYeUIzcBHVbHJezqXwwxrg%3D%3D
"Data Analyst (Marketing Analytics, Bangkok Based, Relocation provided)",Agoda,"Pune, Maharashtra, India",1 week ago,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299767576?position=6&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=is5sTRLYnQBzUaZTNfKmzw%3D%3D
Data Analyst I (Advance Excel Skill Required),Nielsen,"Bengaluru East, Karnataka, India",2 days ago,https://in.linkedin.com/jobs/view/data-analyst-i-advance-excel-skill-required-at-nielsen-4323425395?position=7&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=zcslaTqrA%2BVgD9HeNNCMQQ%3D%3D
Associate - Data & Analytics,JPMorganChase,"Bengaluru, Karnataka, India",1 week ago,https://in.linkedin.com/jobs/view/associate-data-analytics-at-jpmorganchase-4335972025?position=8&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=W9isxobWz6zxjQP5k8nYpw%3D%3D
BI Data Analyst,ZeroFox,"Bengaluru, Karnataka, India",2 days ago,https://in.linkedin.com/jobs/view/bi-data-analyst-at-zerofox-4312048636?position=9&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=y%2BL56xzLRB5q2F0FCTu%2Bfg%3D%3D
Analyst- Data Operations,JPMorganChase,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/analyst-data-operations-at-jpmorganchase-4336822576?position=10&pageNum=5&refId=TEIKJ%2BGBSlZq0i2Q%2BWWWsw%3D%3D&trackingId=LyEMTpzi3wW21FcG2ENM%2BQ%3D%3D
Client Data Analyst,JPMorganChase,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/client-data-analyst-at-jpmorganchase-4336951985?position=1&pageNum=7&refId=UF6xser21elgnbwNdjmH7w%3D%3D&trackingId=R86QrQurJ58EHkzYRD1FlQ%3D%3D
ML Data Associate-II,Amazon,"Hyderabad, Telangana, India",3 days ago,https://in.linkedin.com/jobs/view/ml-data-associate-ii-at-amazon-4332069478?position=2&pageNum=7&refId=UF6xser21elgnbwNdjmH7w%3D%3D&trackingId=4%2Fa0LK7SgSBBfm9edzClnw%3D%3D
Python with SQL and AWS,Cognizant,"Hyderabad, Telangana, India",Recent,https://in.linkedin.com/jobs/view/python-with-sql-and-aws-at-cognizant-4324010361?position=3&pageNum=7&refId=UF6xser21elgnbwNdjmH7w%3D%3D&trackingId=MOcbDuY6cOAIYmzwq7o9Dg%3D%3D
Data Visualisation Analyst - VOIS,VOIS,"Pune, Maharashtra, India",4 days ago,https://in.linkedin.com/jobs/view/data-visualisation-analyst-vois-at-vois-4336314775?position=4&pageNum=7&refId=UF6xser21elgnbwNdjmH7w%3D%3D&trackingId=8KncP33l%2BbnQ0HncvGqxEw%3D%3D
Associate Data Analyst - REFM,Circle K,"Gurugram, Haryana, India",3 days ago,https://in.linkedin.com/jobs/view/associate-data-analyst-refm-at-circle-k-4323024631?position=5&pageNum=7&refId=UF6xser21elgnbwNdjmH7w%3D%3D&trackingId=EsH9Hc4FYbwaxucfOcf9Cg%3D%3D
Data Analyst,Aon,"Bengaluru, Karnataka, India",2 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-aon-4332791805?position=6&pageNum=7&refId=UF6xser21elgnbwNdjmH7w%3D%3D&trackingId=tdpj%2Bytne5qXlnV%2FTMPM3g%3D%3D
AVP - Data Analytics [T500-21488],MUFG,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/avp-data-analytics-t500-21488-at-mufg-4336597125?position=7&pageNum=7&refId=UF6xser21elgnbwNdjmH7w%3D%3D&trackingId=adk0OgUSbBjM9gC0VAXauQ%3D%3D
"Associate Data Analyst – Looker, PowerBI, DAX, SQL, Python, R, SSAS, C#, .NET, GCP",UPS,"Chennai, Tamil Nadu, India",3 days ago,https://in.linkedin.com/jobs/view/associate-data-analyst-%E2%80%93-looker-powerbi-dax-sql-python-r-ssas-c%23-net-gcp-at-ups-4323124523?position=8&pageNum=7&refId=UF6xser21elgnbwNdjmH7w%3D%3D&trackingId=%2B89X3cpHT5NlVblX6tNy%2BA%3D%3D
BI Analyst,Shell,"Bengaluru East, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/bi-analyst-at-shell-4323055013?position=9&pageNum=7&refId=UF6xser21elgnbwNdjmH7w%3D%3D&trackingId=oQmDkFhRNbBDQpVDcL%2BZfg%3D%3D
Associate,PwC India,"Mumbai, Maharashtra, India",4 days ago,https://in.linkedin.com/jobs/view/associate-at-pwc-india-4331866039?position=10&pageNum=7&refId=UF6xser21elgnbwNdjmH7w%3D%3D&trackingId=LvXN6GhAcZ0zUV1foep4TA%3D%3D
Data Analyst,Precision AQ,India,2 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-precision-aq-4323344966?position=1&pageNum=10&refId=0oB3AtpSXoP%2Fw5iiydLHrg%3D%3D&trackingId=CCab77TzAKFDx822fNzjfQ%3D%3D
MDM Senior Analyst,NielsenIQ,Pune/Pimpri-Chinchwad Area,3 days ago,https://in.linkedin.com/jobs/view/mdm-senior-analyst-at-nielseniq-4323084869?position=2&pageNum=10&refId=0oB3AtpSXoP%2Fw5iiydLHrg%3D%3D&trackingId=ZFDD0mUKpyfJsos9qXBWtw%3D%3D
Data Analyst (Remote),Taskify AI,India,2 days ago,https://in.linkedin.com/jobs/view/data-analyst-remote-at-taskify-ai-4336907116?position=3&pageNum=10&refId=0oB3AtpSXoP%2Fw5iiydLHrg%3D%3D&trackingId=SXfxQrv2zVtd75it3VOlsA%3D%3D
Data Analytics Associate,Scoutit,"Bengaluru, Karnataka, India",1 day ago,https://in.linkedin.com/jobs/view/data-analytics-associate-at-scoutit-4323482284?position=4&pageNum=10&refId=0oB3AtpSXoP%2Fw5iiydLHrg%3D%3D&trackingId=51zoYhY3v2IGuFr%2FL9FngQ%3D%3D
Data Analyst,Precision Medicine Group,India,2 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-precision-medicine-group-4323245112?position=5&pageNum=10&refId=0oB3AtpSXoP%2Fw5iiydLHrg%3D%3D&trackingId=pndWTNOxtYfuZovuypnq5g%3D%3D
Data Management Associate,JPMorganChase,"Bengaluru, Karnataka, India",4 days ago,https://in.linkedin.com/jobs/view/data-management-associate-at-jpmorganchase-4336682492?position=6&pageNum=10&refId=0oB3AtpSXoP%2Fw5iiydLHrg%3D%3D&trackingId=TLuDdXKSZjcVb53bpDu0JA%3D%3D
Analyst,eClerx,"Pune, Maharashtra, India",3 days ago,https://in.linkedin.com/jobs/view/analyst-at-eclerx-4336687679?position=7&pageNum=10&refId=0oB3AtpSXoP%2Fw5iiydLHrg%3D%3D&trackingId=GHDb0yZn8OelyyENHKHT3A%3D%3D
Data & Business Intelligence Analyst,UPS,"Chennai, Tamil Nadu, India",1 week ago,https://in.linkedin.com/jobs/view/data-business-intelligence-analyst-at-ups-4262164734?position=8&pageNum=10&refId=0oB3AtpSXoP%2Fw5iiydLHrg%3D%3D&trackingId=nDXOBsfVGdqG8t1HYDgZaQ%3D%3D
Data & Business Intelligence Analyst,UPS,"Chennai, Tamil Nadu, India",1 week ago,https://in.linkedin.com/jobs/view/data-business-intelligence-analyst-at-ups-4262163732?position=9&pageNum=10&refId=0oB3AtpSXoP%2Fw5iiydLHrg%3D%3D&trackingId=R%2F1LL%2FP348c1qoaZvAhiJQ%3D%3D
Associate,ZoomRx,India,3 days ago,https://in.linkedin.com/jobs/view/associate-at-zoomrx-4323043129?position=10&pageNum=10&refId=0oB3AtpSXoP%2Fw5iiydLHrg%3D%3D&trackingId=oyRcoNhUaLuAC%2F%2BA%2FkmhNQ%3D%3D
Data Analyst,Policybazaar.com,"Gurugram, Haryana, India",Recent,https://in.linkedin.com/jobs/view/data-analyst-at-policybazaar-com-4341988211?position=1&pageNum=12&refId=rgS1n%2BFS0IAkFETp4X%2Fv1A%3D%3D&trackingId=CMTvOEf8URig7pudVhnD1w%3D%3D
Senior Analyst - Data Analytics,American Express,"Gurugram, Haryana, India",3 days ago,https://in.linkedin.com/jobs/view/senior-analyst-data-analytics-at-american-express-4336911072?position=2&pageNum=12&refId=rgS1n%2BFS0IAkFETp4X%2Fv1A%3D%3D&trackingId=TtN3UidoHq4mHaCbaYE%2F2g%3D%3D
PowerBI -Azure/SQL,Publicis Re:Sources,"Gurgaon, Haryana, India",Recent,https://in.linkedin.com/jobs/view/powerbi-azure-sql-at-publicis-re-sources-4138179975?position=3&pageNum=12&refId=rgS1n%2BFS0IAkFETp4X%2Fv1A%3D%3D&trackingId=0eumLdGk46OoZhaYXV90Rg%3D%3D
Business Intelligence Analyst,InCred Money,"Mumbai, Maharashtra, India",Recent,https://in.linkedin.com/jobs/view/business-intelligence-analyst-at-incred-money-4323697030?position=4&pageNum=12&refId=rgS1n%2BFS0IAkFETp4X%2Fv1A%3D%3D&trackingId=DyQoswBJL869f%2BebJMS%2B8g%3D%3D
Data Analyst / Business Analyst,ACL Digital,"Bengaluru, Karnataka, India",1 week ago,https://in.linkedin.com/jobs/view/data-analyst-business-analyst-at-acl-digital-4322592497?position=5&pageNum=12&refId=rgS1n%2BFS0IAkFETp4X%2Fv1A%3D%3D&trackingId=j4V703bUHLOi6%2ByVqPt8mA%3D%3D
Data Analyst,Indium,"Bengaluru, Karnataka, India",1 day ago,https://in.linkedin.com/jobs/view/data-analyst-at-indium-4318230163?position=6&pageNum=12&refId=rgS1n%2BFS0IAkFETp4X%2Fv1A%3D%3D&trackingId=0mNQ%2Fssdz%2FMQmlOoqq6M0g%3D%3D
Research Scientist,NielsenIQ,"Chennai, Tamil Nadu, India",3 days ago,https://in.linkedin.com/jobs/view/research-scientist-at-nielseniq-4323270968?position=7&pageNum=12&refId=rgS1n%2BFS0IAkFETp4X%2Fv1A%3D%3D&trackingId=VUGEbTRjG6%2BL3kY9G%2Flx3A%3D%3D
Associate Data Scientist,Swiggy,"Bengaluru, Karnataka, India",Recent,https://in.linkedin.com/jobs/view/associate-data-scientist-at-swiggy-4324110761?position=8&pageNum=12&refId=rgS1n%2BFS0IAkFETp4X%2Fv1A%3D%3D&trackingId=3dK%2BDfcllyYeP%2BpWlajMFg%3D%3D
Data Analyst,Scoutit,"New Delhi, Delhi, India",6 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4322912349?position=9&pageNum=12&refId=rgS1n%2BFS0IAkFETp4X%2Fv1A%3D%3D&trackingId=yj1GLGCFFA3b8iTTTerQUQ%3D%3D
Sr. Manager - Data Science,NielsenIQ,Pune/Pimpri-Chinchwad Area,3 days ago,https://in.linkedin.com/jobs/view/sr-manager-data-science-at-nielseniq-4323124774?position=10&pageNum=12&refId=rgS1n%2BFS0IAkFETp4X%2Fv1A%3D%3D&trackingId=JYcIaal7vHjevUWSIKbvWA%3D%3D
Climate Data Analyst,Palladium: Make It Possible,"Mumbai, Maharashtra, India",5 days ago,https://in.linkedin.com/jobs/view/climate-data-analyst-at-palladium-make-it-possible-4336382769?position=1&pageNum=15&refId=0Hvp09ObqAM%2F2neDnUhILw%3D%3D&trackingId=qWuAQZmUQpj7i6i4I%2F5Rqw%3D%3D
Data Analyst,Talent Integrators,"New Delhi, Delhi, India",6 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-talent-integrators-4322800523?position=2&pageNum=15&refId=0Hvp09ObqAM%2F2neDnUhILw%3D%3D&trackingId=0Tn7U08Cy6IFmEte46jiFw%3D%3D
Associate Data Scientist,Swiggy,"Bengaluru, Karnataka, India",Recent,https://in.linkedin.com/jobs/view/associate-data-scientist-at-swiggy-4324190680?position=3&pageNum=15&refId=0Hvp09ObqAM%2F2neDnUhILw%3D%3D&trackingId=mH7Q8Q0uo9YjRZxQUXi%2FRA%3D%3D
Analyst,Innodata Inc.,India,4 days ago,https://in.linkedin.com/jobs/view/analyst-at-innodata-inc-4341195907?position=4&pageNum=15&refId=0Hvp09ObqAM%2F2neDnUhILw%3D%3D&trackingId=pHw0U4p26z7HR6xjvKI4Mw%3D%3D
